title,rank,total_ratings,installs,average rating,growth (30 days),growth (60 days),price,category,5_star_ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,paid,US_Sales,EU_Sales,JP_Sales,Global_Sales
Garena Free Fire- World Series,1,86273129.0,500000000.0,4,2.1,6.9,0.0,GAME_ACTION,63546766,4949507.0,3158756,2122183,12495915,False,24400,984292,515778,774192
PUBG MOBILE - Traverse,2,37276732.0,500000000.0,4,1.8,3.6,0.0,GAME_ACTION,28339753,2164478.0,1253185,809821,4709492,False,743331,549914,558222,911860
Mobile Legends: Bang Bang,3,26663595.0,100000000.0,4,1.5,3.2,0.0,GAME_ACTION,18777988,1812094.0,1050600,713912,4308998,False,795147,987939,763524,607676
Brawl Stars,4,17971552.0,100000000.0,4,1.4,4.4,0.0,GAME_ACTION,13018610,1552950.0,774012,406184,2219794,False,634661,789793,102627,703545
Sniper 3D: Fun Free Online FPS Shooting Game,5,14464235.0,500000000.0,4,0.8,1.5,0.0,GAME_ACTION,9827328,2124154.0,1047741,380670,1084340,False,61273,40628,932580,728941
Call of Duty®: Mobile - Season 4: Spurned & Burned,6,13572148.0,100000000.0,4,2.0,4.0,0.0,GAME_ACTION,10501443,1274162.0,517273,268489,1010778,False,196728,13390,360313,41815
Among Us,7,11936964.0,100000000.0,3,1.8,5.6,0.0,GAME_ACTION,5954262,1041297.0,853099,719378,3368926,False,393980,49065,574761,838005
Temple Run 2,8,9633929.0,500000000.0,4,0.3,0.8,0.0,GAME_ACTION,6579369,991341.0,614643,349003,1099571,False,383169,943901,717832,260276
PUBG MOBILE LITE,9,7578630.0,100000000.0,4,1.0,2.5,0.0,GAME_ACTION,5382545,500696.0,351523,238986,1104879,False,492610,259144,430193,934435
Gangstar Vegas: World of Crime,10,6268377.0,100000000.0,4,0.4,1.0,0.0,GAME_ACTION,4509647,605510.0,319332,167792,666094,False,478085,19066,443844,802719
Pixel Gun 3D: FPS Shooter & Battle Royale,11,5681934.0,100000000.0,4,0.2,0.5,0.0,GAME_ACTION,3866308,527159.0,326294,186593,775578,False,203540,417329,864957,930154
Bowmasters,12,5471344.0,100000000.0,4,2.0,4.1,0.0,GAME_ACTION,4319351,514574.0,229990,98901,308525,False,262923,409810,369965,391627
Standoff 2,13,4801658.0,50000000.0,4,3.0,7.6,0.0,GAME_ACTION,3884644,365380.0,135150,65422,351059,False,746309,860524,717770,27979
Talking Tom Gold Run,14,4710639.0,100000000.0,4,1.3,4012.8,0.0,GAME_ACTION,3581634,397794.0,200800,116460,413948,False,168369,531005,93476,219194
Garena Liên Quân Mobile,15,4564398.0,50000000.0,4,1.0,2.7,0.0,GAME_ACTION,3142312,386513.0,204843,111645,719082,False,440050,471492,699739,91446
Banana Kong,16,4496723.0,100000000.0,4,0.5,1.0,0.0,GAME_ACTION,3497817,518453.0,223009,72115,185328,False,188871,137203,152154,837699
Crossy Road,17,4464668.0,100000000.0,4,0.1,0.2,0.0,GAME_ACTION,3379550,576816.0,234463,68644,205194,False,235649,984680,848886,337593
War Robots. 6v6 Tactical Multiplayer Battles,18,4221389.0,50000000.0,3,692.7,0.6,0.0,GAME_ACTION,2634036,450688.0,267931,164087,704645,False,860588,499259,412750,560929
MORTAL KOMBAT: The Ultimate Fighting Game!,19,4215808.0,50000000.0,4,0.5,1.2,0.0,GAME_ACTION,2874353,457806.0,254154,136153,493340,False,703724,138474,88361,394285
